company_name,salary_info_reliability,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
(주)아이디에스앤트러스트,높음,3497,3566.25,3661.75,3794.5,3910.5,4027.5,4154,4284.25,4442.5,4612.75,4793.25,4978.75,5163,5346.75,5536.25,5741.75,5968.75,6214.25,6342,7705.08,7829.09
(주)아이브,보통,3999.25,4078.5,4194.25,4366.5,4535.5,4732.75,4963.25,5207.25,5481,5751.5,6009.25,6248.25,6458.25,6641.25,6801.75,6952.5,7111,7278,7365,8377,8469
(주)아이비리더스,보통,3493,3542.75,3598.5,3676.75,3724,3795.75,3897.75,4014.5,4163.5,4324,4497.25,4686.5,4888.25,5101.5,5327.5,5569.25,5825.75,6089,6225,7688.42,7820.91
(주)아이오트러스트,낮음,3707.75,3784.5,3890.25,4033,4155,4275.5,4406,4537.75,4696.75,4863,5037.5,5223.25,5415.5,5610.5,5807.75,6010.25,6223.75,6451.25,6567,7939.33,8064.55
(주)아이트럭,보통,3212.75,3275.25,3368.25,3510.75,3654.25,3819,3999.5,4173.25,4358,4540.75,4724.75,4911,5094.25,5272.25,5448.5,5634.75,5838.5,6054,6167,7319.08,7423.36
(주)알에프메디컬,보통,3364.75,3420.75,3495.5,3606.75,3698.75,3803.75,3919.5,4029.75,4159.75,4296.25,4437.5,4580.5,4718.5,4854.25,4993,5143,5307.75,5485,5576.67,6732,6837.27
(주)알에프텍,높음,2998,3055.5,3142.25,3276,3405.5,3543,3681.75,3802.5,3926.75,4051.5,4181.75,4318.75,4458.25,4597,4735.75,4879.5,5031.5,5190.25,5272,6337.5,6434.36
(주)애드크림,낮음,2854.75,2908.25,2985.75,3103.25,3216.75,3347.75,3493.25,3636.75,3794,3948,4101,4252.75,4398.75,4539.25,4674.75,4813.5,4961,5114.75,5196,5879,5940.64
(주)애자일소다,보통,3582.75,3651,3743.5,3871.25,3978,4084.5,4197.25,4309,4446.5,4597.5,4763.75,4942.25,5124.5,5307,5491,5683.75,5891.25,6113.5,6228.33,7733.08,7870.09
(주)액스비스,낮음,3577,3645,3745.5,3896,4028,4168.75,4315,4449.75,4604.5,4763.5,4931.75,5108.25,5288,5467.75,5643.5,5823.75,6015.25,6219,6324.67,7538.25,7648.73
(주)야나두,높음,3723,3777.5,3841.75,3937.5,4010.25,4113.75,4247,4388.25,4555,4725.25,4899.75,5076.5,5247,5411.25,5573.5,5739.25,5914,6098.25,6191.67,7336.5,7440.91
(주)어뮤즈랩,매우낮음,3457.5,3529.25,3630,3769,3895.75,4023.5,4162.25,4304.5,4470.5,4642.25,4817.5,4993,5162.25,5324.25,5482.5,5645,5819,6005.5,6101.67,7313.5,7423.91
(주)어센트코리아,보통,3668.75,3736,3828.25,3962.5,4082.25,4210.25,4344.25,4467.25,4603.75,4745.75,4902,5073.75,5249.75,5423.75,5592.75,5761,5936.25,6121,6215.67,7599,7725.09
(주)언에이아이,매우낮음,2559.75,2602.5,2660.25,2748.75,2829,2926.25,3037.5,3148,3273,3403.75,3542.5,3687.5,3831.5,3972,4110.25,4250.5,4395.5,4544.5,4620.67,5446.75,5521.91
(주)에스엠해썹,낮음,3343.25,3419.25,3540.5,3720.25,3893.5,4061.75,4218.5,4348,4483.5,4615.75,4747.75,4883.5,5026.75,5183.25,5357,5550.5,5764.25,5985.75,6099,7339.42,7451.82
(주)에스피코리아,매우낮음,2518.75,2571,2648,2758.75,2860.5,2962.5,3063.5,3155.5,3259.75,3366.5,3479.25,3599,3722.5,3848.75,3977,4111.5,4252,4395,4470,5288.42,5362.55
(주)에쓰씨케이,보통,3837.75,3915.25,4025,4178,4310,4436.25,4557,4659.75,4782.25,4921.25,5084.75,5273.5,5474,5677,5881,6089.5,6305.5,6526.25,6637.67,8038.67,8166.27
(주)에어키,보통,3703.75,3774,3873.5,4020.25,4155.25,4300.75,4454.5,4597.5,4752,4906.25,5064.25,5225.25,5387,5548,5712.5,5893,6097.75,6325.25,6444,7871.08,8001.09
(주)에이버튼,매우낮음,4532.75,4602.25,4693,4837,4970.25,5165.25,5416.5,5683.25,5978.75,6272,6565.5,6865.25,7162.5,7447.5,7718.75,7992.25,8281.25,8586.25,8745.67,10216.25,10349.73
(주)에이아이썸,낮음,3813.5,3891.25,3999,4146,4274.5,4399.5,4529.75,4657.25,4807.5,4964.5,5129.5,5299.75,5463.75,5612.5,5741.5,5859.25,5982.5,6124.5,6197.67,7402.17,7512.64
