company_name_j,company_type,industry
시에라베이스,주식회사,응용 소프트웨어 개발 및 공급업
이노시뮬레이션,중소기업,시스템 소프트웨어 개발 및 공급업
이노시뮬레이션,코스닥,시스템 소프트웨어 개발 및 공급업
이노시뮬레이션,주식회사,시스템 소프트웨어 개발 및 공급업
이노시뮬레이션,외부감사법인,시스템 소프트웨어 개발 및 공급업
이노시뮬레이션,연구소,시스템 소프트웨어 개발 및 공급업
이노시뮬레이션,병역특례 인증업체,시스템 소프트웨어 개발 및 공급업
이노시뮬레이션,수출입 기업,시스템 소프트웨어 개발 및 공급업
휴네이트,중소기업,기타 전기 변환장치 제조업
휴네이트,주식회사,기타 전기 변환장치 제조업
아이비리더스,중소기업,시스템 소프트웨어 개발 및 공급업
아이비리더스,주식회사,시스템 소프트웨어 개발 및 공급업
아이비리더스,외부감사법인,시스템 소프트웨어 개발 및 공급업
아이비리더스,병역특례 인증업체,시스템 소프트웨어 개발 및 공급업
텔스타,"",기기용 자동측정 및 제어장치 제조업
에이핀테크놀러지,중소기업,유선 온라인 게임 소프트웨어 개발 및 공급업
에이핀테크놀러지,주식회사,유선 온라인 게임 소프트웨어 개발 및 공급업
엔큐리티,중소기업,응용 소프트웨어 개발 및 공급업
엔큐리티,주식회사,응용 소프트웨어 개발 및 공급업
제이피아이헬스케어,중소기업,그 외 기타 의료용 기기 제조업
제이피아이헬스케어,코스닥,그 외 기타 의료용 기기 제조업
제이피아이헬스케어,외부감사법인,그 외 기타 의료용 기기 제조업
제이피아이헬스케어,수출입 기업,그 외 기타 의료용 기기 제조업
제이브이엠,"","용기 세척, 포장 및 충전기 제조업"
미조리장갑,중소기업,""
덴티움,중견기업,치과용 기기 제조업
덴티움,코스피,치과용 기기 제조업
덴티움,주식회사,치과용 기기 제조업
덴티움,외부감사법인,치과용 기기 제조업
덴티움,병역특례 인증업체,치과용 기기 제조업
덴티움,수출입 기업,치과용 기기 제조업
포우,중소기업,""
포씨게이트,중소기업,응용 소프트웨어 개발 및 공급업
포씨게이트,주식회사,응용 소프트웨어 개발 및 공급업
포씨게이트,수출입 기업,응용 소프트웨어 개발 및 공급업
알에프메디컬,중소기업,그 외 기타 의료용 기기 제조업
알에프메디컬,주식회사,그 외 기타 의료용 기기 제조업
알에프메디컬,외부감사법인,그 외 기타 의료용 기기 제조업
알에프메디컬,병역특례 인증업체,그 외 기타 의료용 기기 제조업
알에프메디컬,수출입 기업,그 외 기타 의료용 기기 제조업
비욘드테크,중소기업,"컴퓨터 및 주변장치, 소프트웨어 도매업"
비욘드테크,주식회사,"컴퓨터 및 주변장치, 소프트웨어 도매업"
비욘드테크,외부감사법인,"컴퓨터 및 주변장치, 소프트웨어 도매업"
비욘드테크,연구소,"컴퓨터 및 주변장치, 소프트웨어 도매업"
비욘드테크,병역특례 인증업체,"컴퓨터 및 주변장치, 소프트웨어 도매업"
비욘드테크,수출입 기업,"컴퓨터 및 주변장치, 소프트웨어 도매업"
토모큐브,스타트업,기타 광학기기 제조업
토모큐브,중소기업,기타 광학기기 제조업
토모큐브,코스닥,기타 광학기기 제조업
토모큐브,주식회사,기타 광학기기 제조업
토모큐브,외부감사법인,기타 광학기기 제조업
토모큐브,병역특례 인증업체,기타 광학기기 제조업
토모큐브,수출입 기업,기타 광학기기 제조업
피플앤드테크놀러지,중소기업,응용 소프트웨어 개발 및 공급업
피플앤드테크놀러지,주식회사,응용 소프트웨어 개발 및 공급업
피플앤드테크놀러지,외부감사법인,응용 소프트웨어 개발 및 공급업
제이엔에스,중소기업,반도체 제조용 기계 제조업
제이엔에스,주식회사,반도체 제조용 기계 제조업
제이엔에스,외부감사법인,반도체 제조용 기계 제조업
제이엔에스,수출입 기업,반도체 제조용 기계 제조업
펜타시큐리티,중소기업,시스템 소프트웨어 개발 및 공급업
펜타시큐리티,주식회사,시스템 소프트웨어 개발 및 공급업
펜타시큐리티,외부감사법인,시스템 소프트웨어 개발 및 공급업
펜타시큐리티,병역특례 인증업체,시스템 소프트웨어 개발 및 공급업
펜타시큐리티,수출입 기업,시스템 소프트웨어 개발 및 공급업
린컴퍼니,"",여자용 겉옷 제조업
네오커스,중소기업,경영 컨설팅업
스키아,중소기업,그 외 기타 의료용 기기 제조업
스키아,주식회사,그 외 기타 의료용 기기 제조업
스키아,병역특례 인증업체,그 외 기타 의료용 기기 제조업
에스디바이오센서,중견기업,전기식 진단 및 요법 기기 제조업
에스디바이오센서,코스피,전기식 진단 및 요법 기기 제조업
에스디바이오센서,외국인 투자기업,전기식 진단 및 요법 기기 제조업
에스디바이오센서,주식회사,전기식 진단 및 요법 기기 제조업
