행정구역명,경제활동인구 (천명),시도명,시군구명,lat,lon,closest_sidos,closest_sigungu
전라남도 무안군,54,전라남도,무안군,34.9905794,126.4812377,광주광역시;전북특별자치도,전라남도 함평군;전라남도 신안군;전라남도 나주시;전라남도 목포시;전라남도 영암군
전라남도 함평군,18,전라남도,함평군,35.0656537,126.5166414,광주광역시;전북특별자치도,전라남도 무안군;전라남도 나주시;전라남도 영광군;광주광역시 광산구;전라남도 신안군
전라남도 영광군,28,전라남도,영광군,35.2769282,126.5124504,광주광역시;전북특별자치도,전라남도 함평군;전북특별자치도 고창군;전라남도 장성군;광주광역시 광산구;전라남도 무안군
전라남도 장성군,23,전라남도,장성군,35.3017065,126.7844061,광주광역시;전북특별자치도,전북특별자치도 고창군;광주광역시 광산구;광주광역시 북구;전라남도 담양군;광주광역시 서구
전라남도 완도군,29,전라남도,완도군,34.3110373,126.7553933,광주광역시;제주특별자치도,전라남도 해남군;전라남도 강진군;전라남도 장흥군;전라남도 진도군;전라남도 영암군
전라남도 진도군,19,전라남도,진도군,34.4867515,126.2629264,광주광역시;제주특별자치도,전라남도 해남군;전라남도 목포시;전라남도 신안군;전라남도 완도군;전라남도 강진군
전라남도 신안군,24,전라남도,신안군,34.8331095,126.3522531,광주광역시;전북특별자치도,전라남도 목포시;전라남도 무안군;전라남도 함평군;전라남도 영암군;전라남도 해남군
경상북도 포항시,265,경상북도,포항시,36.0189315,129.3429384,울산광역시;대구광역시,경상북도 경주시;경상북도 영천시;경상북도 영덕군;울산광역시 북구;울산광역시 중구
경상북도 경주시,144,경상북도,경주시,35.8556705,129.2248811,울산광역시;대구광역시,경상북도 포항시;경상북도 영천시;울산광역시 북구;울산광역시 중구;울산광역시 울주군
경상북도 김천시,82,경상북도,김천시,36.1398035,128.1139534,대구광역시;대전광역시,경상북도 구미시;경상북도 성주군;충청북도 영동군;경상북도 상주시;경상북도 칠곡군
경상북도 안동시,87,경상북도,안동시,36.5634886,128.7260798,대구광역시;충청북도,경상북도 의성군;경상북도 예천군;경상북도 영주시;경상북도 청송군;경상북도 영양군
경상북도 구미시,229,경상북도,구미시,36.1195513,128.3444692,대구광역시;충청북도,경상북도 칠곡군;경상북도 김천시;경상북도 성주군;대구광역시 군위군;대구광역시 서구
경상북도 영주시,56,경상북도,영주시,36.805685,128.624054,충청북도;대구광역시,경상북도 봉화군;경상북도 예천군;경상북도 안동시;충청북도 단양군;강원특별자치도 영월군
경상북도 영천시,62,경상북도,영천시,35.98842,128.942,대구광역시;울산광역시,경상북도 경산시;경상북도 경주시;대구광역시 동구;대구광역시 수성구;대구광역시 중구
경상북도 상주시,57,경상북도,상주시,36.4104478,128.1590614,충청북도;대전광역시,경상북도 문경시;경상북도 김천시;경상북도 예천군;경상북도 구미시;충청북도 보은군
경상북도 문경시,39,경상북도,문경시,36.5858541,128.1870612,충청북도;대전광역시,경상북도 상주시;경상북도 예천군;충청북도 보은군;충청북도 괴산군;경상북도 영주시
경상북도 경산시,164,경상북도,경산시,35.825122,128.741329,대구광역시;울산광역시,대구광역시 수성구;대구광역시 동구;대구광역시 남구;대구광역시 중구;대구광역시 북구
경상북도 의성군,32,경상북도,의성군,36.3524,128.697,대구광역시;충청북도,대구광역시 군위군;경상북도 안동시;경상북도 청송군;경상북도 예천군;경상북도 구미시
경상북도 청송군,17,경상북도,청송군,36.4358,129.0571,대구광역시;울산광역시,경상북도 영양군;경상북도 영덕군;경상북도 안동시;경상북도 의성군;대구광역시 군위군
경상북도 영양군,10,경상북도,영양군,36.6664,129.1127,대구광역시;충청북도,경상북도 청송군;경상북도 영덕군;경상북도 안동시;경상북도 봉화군;경상북도 울진군
경상북도 영덕군,19,경상북도,영덕군,36.4149,129.3659,대구광역시;울산광역시,경상북도 청송군;경상북도 영양군;경상북도 포항시;경상북도 안동시;경상북도 의성군
경상북도 청도군,27,경상북도,청도군,35.6473012,128.7348468,대구광역시;울산광역시,경상남도 밀양시;경상북도 경산시;경상남도 창녕군;대구광역시 수성구;대구광역시 남구
경상북도 고령군,19,경상북도,고령군,35.7258,128.2632,대구광역시;경상남도,대구광역시 달성군;경상남도 합천군;경상북도 성주군;대구광역시 달서구;경상남도 창녕군
경상북도 성주군,25,경상북도,성주군,35.9190065,128.283486,대구광역시;경상남도,경상북도 칠곡군;대구광역시 달성군;경상북도 고령군;경상북도 구미시;대구광역시 달서구
경상북도 칠곡군,64,경상북도,칠곡군,35.995,128.4017,대구광역시;경상남도,경상북도 성주군;경상북도 구미시;대구광역시 서구;대구광역시 북구;대구광역시 달서구
경상북도 예천군,31,경상북도,예천군,36.6462999,128.4376,충청북도;대구광역시,경상북도 문경시;경상북도 영주시;경상북도 안동시;경상북도 상주시;경상북도 봉화군
경상북도 봉화군,18,경상북도,봉화군,36.8925,128.7324,충청북도;강원특별자치도,경상북도 영주시;충청북도 단양군;경상북도 안동시;강원특별자치도 태백시;경상북도 예천군
경상북도 울진군,27,경상북도,울진군,36.993,129.4006,강원특별자치도;대구광역시,강원특별자치도 태백시;경상북도 영양군;강원특별자치도 삼척시;경상북도 봉화군;강원특별자치도 동해시
경상북도 울릉군,6,경상북도,울릉군,37.4845293,130.9058854,강원특별자치도;울산광역시,경상북도 울진군;강원특별자치도 삼척시;강원특별자치도 동해시;강원특별자치도 태백시;강원특별자치도 강릉시
경상남도 진주시,198,경상남도,진주시,35.1803459,128.1079953,부산광역시;대구광역시,경상남도 사천시;경상남도 의령군;경상남도 함안군;경상남도 고성군;경상남도 산청군
경상남도 통영시,64,경상남도,통영시,34.854254,128.433205,부산광역시;울산광역시,경상남도 고성군;경상남도 거제시;경상남도 사천시;경상남도 함안군;경상남도 진주시
경상남도 사천시,62,경상남도,사천시,35.003468,128.064562,부산광역시;전라남도,경상남도 진주시;경상남도 고성군;경상남도 남해군;경상남도 하동군;전라남도 광양시
경상남도 김해시,295,경상남도,김해시,35.2310947,128.8908228,부산광역시;울산광역시,부산광역시 강서구;부산광역시 북구;부산광역시 사상구;부산광역시 사하구;부산광역시 부산진구
경상남도 밀양시,58,경상남도,밀양시,35.503839,128.7466992,대구광역시;부산광역시,경상북도 청도군;경상남도 창녕군;경상남도 창원시;경상남도 양산시;경상남도 김해시
경상남도 거제시,139,경상남도,거제시,34.8804677,128.621207,부산광역시;울산광역시,경상남도 통영시;경상남도 고성군;경상남도 창원시;부산광역시 사하구;부산광역시 서구
경상남도 양산시,191,경상남도,양산시,35.3349979,129.0370582,부산광역시;울산광역시,부산광역시 금정구;부산광역시 강서구;부산광역시 동래구;부산광역시 북구;경상남도 김해시
경상남도 창원시,542,경상남도,창원시,35.227956,128.6818586,부산광역시;울산광역시,경상남도 김해시;경상남도 함안군;부산광역시 강서구;부산광역시 북구;부산광역시 사상구
경상남도 의령군,16,경상남도,의령군,35.322003,128.2617827,대구광역시;부산광역시,경상남도 함안군;경상남도 진주시;경상남도 합천군;경상남도 창녕군;경상남도 산청군
경상남도 함안군,35,경상남도,함안군,35.2726875,128.4065038,부산광역시;대구광역시,경상남도 의령군;경상남도 창원시;경상남도 진주시;경상남도 창녕군;경상남도 고성군
경상남도 창녕군,35,경상남도,창녕군,35.5443876,128.4921938,대구광역시;부산광역시,경상남도 밀양시;경상북도 청도군;대구광역시 달성군;경상북도 고령군;경상남도 합천군
경상남도 고성군,30,경상남도,고성군,34.9732784,128.322233,부산광역시;대구광역시,경상남도 통영시;경상남도 사천시;경상남도 거제시;경상남도 진주시;경상남도 함안군
경상남도 남해군,25,경상남도,남해군,34.8374437,127.8925589,전라남도;광주광역시,전라남도 광양시;전라남도 여수시;경상남도 사천시;경상남도 하동군;전라남도 순천시
경상남도 하동군,26,경상남도,하동군,35.0670735,127.7516778,광주광역시;전라남도,전라남도 광양시;전라남도 순천시;경상남도 남해군;경상남도 사천시;전라남도 구례군
